Attendance_ID,Employee #,Date,Log In,Log Out,First Name,Last Name
10005-45446,10005,6/3/2024,9:48 AM,5:13 PM,Eduard,Hernandez
10005-45447,10005,6/4/2024,9:50 AM,8:20 PM,Eduard,Hernandez
10005-45448,10005,6/5/2024,9:10 AM,5:17 PM,Eduard,Hernandez
10005-45449,10005,6/6/2024,10:47 AM,7:28 PM,Eduard,Hernandez
10005-45450,10005,6/7/2024,8:14 AM,4:58 PM,Eduard,Hernandez
10005-45453,10005,6/10/2024,8:05 AM,6:04 PM,Eduard,Hernandez
10005-45454,10005,6/11/2024,8:48 AM,4:10 PM,Eduard,Hernandez
10005-45455,10005,6/12/2024,10:10 AM,6:34 PM,Eduard,Hernandez
10005-45456,10005,6/13/2024,9:56 AM,6:07 PM,Eduard,Hernandez
10005-45457,10005,6/14/2024,8:50 AM,4:13 PM,Eduard,Hernandez
10005-45460,10005,6/17/2024,9:36 AM,6:09 PM,Eduard,Hernandez
10005-45461,10005,6/18/2024,10:24 AM,5:43 PM,Eduard,Hernandez
10005-45462,10005,6/19/2024,10:35 AM,6:43 PM,Eduard,Hernandez
10005-45463,10005,6/20/2024,9:28 AM,5:07 PM,Eduard,Hernandez
10005-45464,10005,6/21/2024,8:49 AM,7:40 PM,Eduard,Hernandez
10005-45467,10005,6/24/2024,9:40 AM,7:56 PM,Eduard,Hernandez
10005-45468,10005,6/25/2024,10:13 AM,8:03 PM,Eduard,Hernandez
10005-45469,10005,6/26/2024,10:27 AM,7:34 PM,Eduard,Hernandez
10005-45470,10005,6/27/2024,10:35 AM,6:14 PM,Eduard,Hernandez
10005-45471,10005,6/28/2024,9:24 AM,6:18 PM,Eduard,Hernandez
10005-45474,10005,7/1/2024,10:58 AM,7:03 PM,Eduard,Hernandez
10005-45475,10005,7/2/2024,8:50 AM,7:49 PM,Eduard,Hernandez
10005-45476,10005,7/3/2024,9:55 AM,5:55 PM,Eduard,Hernandez
10005-45477,10005,7/4/2024,9:17 AM,4:45 PM,Eduard,Hernandez
10005-45478,10005,7/5/2024,9:21 AM,6:42 PM,Eduard,Hernandez
10005-45481,10005,7/8/2024,10:49 AM,6:26 PM,Eduard,Hernandez
10005-45482,10005,7/9/2024,8:11 AM,4:49 PM,Eduard,Hernandez
10005-45483,10005,7/10/2024,9:40 AM,4:47 PM,Eduard,Hernandez
10005-45484,10005,7/11/2024,9:37 AM,5:14 PM,Eduard,Hernandez
10005-45485,10005,7/12/2024,8:02 AM,6:57 PM,Eduard,Hernandez
10005-45488,10005,7/15/2024,9:55 AM,6:36 PM,Eduard,Hernandez
10005-45489,10005,7/16/2024,9:37 AM,7:59 PM,Eduard,Hernandez
10005-45490,10005,7/17/2024,9:48 AM,8:34 PM,Eduard,Hernandez
10005-45491,10005,7/18/2024,8:07 AM,4:09 PM,Eduard,Hernandez
10005-45492,10005,7/19/2024,10:46 AM,7:26 PM,Eduard,Hernandez
10005-45495,10005,7/22/2024,10:27 AM,6:53 PM,Eduard,Hernandez
10005-45496,10005,7/23/2024,10:45 AM,7:43 PM,Eduard,Hernandez
10005-45497,10005,7/24/2024,8:35 AM,3:46 PM,Eduard,Hernandez
10005-45498,10005,7/25/2024,9:10 AM,4:31 PM,Eduard,Hernandez
10005-45499,10005,7/26/2024,9:21 AM,5:53 PM,Eduard,Hernandez
10005-45502,10005,7/29/2024,8:44 AM,4:22 PM,Eduard,Hernandez
10005-45503,10005,7/30/2024,8:44 AM,5:17 PM,Eduard,Hernandez
10005-45504,10005,7/31/2024,9:48 AM,6:11 PM,Eduard,Hernandez
10005-45505,10005,8/1/2024,9:40 AM,5:06 PM,Eduard,Hernandez
10005-45506,10005,8/2/2024,10:13 AM,6:10 PM,Eduard,Hernandez
10005-45509,10005,8/5/2024,8:19 AM,5:16 PM,Eduard,Hernandez
10005-45510,10005,8/6/2024,8:16 AM,3:26 PM,Eduard,Hernandez
10005-45511,10005,8/7/2024,10:38 AM,7:48 PM,Eduard,Hernandez
10005-45512,10005,8/8/2024,10:15 AM,6:52 PM,Eduard,Hernandez
