Attendance_ID,Employee #,Date,Log In,Log Out,First Name,Last Name,DTR Approved By,DTR Approved Date,DTR Status,Payroll Approved By,Payroll Approved Date,Payroll Status
10008-45446,10008,6/3/2024,9:02 AM,6:06 PM,Alice,Romualdez,,,,,,
10008-45447,10008,6/4/2024,9:36 AM,6:56 PM,Alice,Romualdez,,,,,,
10008-45448,10008,6/5/2024,10:44 AM,6:51 PM,Alice,Romualdez,,,,,,
10008-45449,10008,6/6/2024,9:21 AM,4:49 PM,Alice,Romualdez,,,,,,
10008-45450,10008,6/7/2024,8:19 AM,4:22 PM,Alice,Romualdez,,,,,,
10008-45453,10008,6/10/2024,10:06 AM,7:18 PM,Alice,Romualdez,,,,,,
10008-45454,10008,6/11/2024,8:09 AM,5:46 PM,Alice,Romualdez,,,,,,
10008-45455,10008,6/12/2024,9:55 AM,5:36 PM,Alice,Romualdez,,,,,,
10008-45456,10008,6/13/2024,9:14 AM,7:44 PM,Alice,Romualdez,,,,,,
10008-45457,10008,6/14/2024,8:40 AM,6:51 PM,Alice,Romualdez,,,,,,
10008-45460,10008,6/17/2024,10:42 AM,6:58 PM,Alice,Romualdez,,,,,,
10008-45461,10008,6/18/2024,9:42 AM,5:50 PM,Alice,Romualdez,,,,,,
10008-45462,10008,6/19/2024,8:44 AM,4:49 PM,Alice,Romualdez,,,,,,
10008-45463,10008,6/20/2024,9:19 AM,5:36 PM,Alice,Romualdez,,,,,,
10008-45464,10008,6/21/2024,10:05 AM,6:19 PM,Alice,Romualdez,,,,,,
10008-45467,10008,6/24/2024,9:28 AM,8:08 PM,Alice,Romualdez,,,,,,
10008-45468,10008,6/25/2024,9:57 AM,5:11 PM,Alice,Romualdez,,,,,,
10008-45469,10008,6/26/2024,10:22 AM,9:04 PM,Alice,Romualdez,,,,,,
10008-45470,10008,6/27/2024,9:01 AM,5:28 PM,Alice,Romualdez,,,,,,
10008-45471,10008,6/28/2024,10:48 AM,6:23 PM,Alice,Romualdez,,,,,,
10008-45474,10008,7/1/2024,8:44 AM,6:14 PM,Alice,Romualdez,,,,,,
10008-45475,10008,7/2/2024,8:03 AM,5:53 PM,Alice,Romualdez,,,,,,
10008-45476,10008,7/3/2024,8:54 AM,4:11 PM,Alice,Romualdez,,,,,,
10008-45477,10008,7/4/2024,10:08 AM,5:36 PM,Alice,Romualdez,,,,,,
10008-45478,10008,7/5/2024,8:36 AM,4:54 PM,Alice,Romualdez,,,,,,
10008-45481,10008,7/8/2024,10:03 AM,6:46 PM,Alice,Romualdez,,,,,,
10008-45482,10008,7/9/2024,10:08 AM,7:18 PM,Alice,Romualdez,,,,,,
10008-45483,10008,7/10/2024,10:12 AM,7:03 PM,Alice,Romualdez,,,,,,
10008-45484,10008,7/11/2024,8:18 AM,6:39 PM,Alice,Romualdez,,,,,,
10008-45485,10008,7/12/2024,8:25 AM,6:43 PM,Alice,Romualdez,,,,,,
10008-45488,10008,7/15/2024,10:59 AM,6:17 PM,Alice,Romualdez,,,,,,
10008-45489,10008,7/16/2024,10:05 AM,5:58 PM,Alice,Romualdez,,,,,,
10008-45490,10008,7/17/2024,9:53 AM,7:39 PM,Alice,Romualdez,,,,,,
10008-45491,10008,7/18/2024,8:17 AM,7:07 PM,Alice,Romualdez,,,,,,
10008-45492,10008,7/19/2024,8:09 AM,3:49 PM,Alice,Romualdez,,,,,,
10008-45495,10008,7/22/2024,10:44 AM,9:42 PM,Alice,Romualdez,,,,,,
10008-45496,10008,7/23/2024,8:45 AM,6:51 PM,Alice,Romualdez,,,,,,
10008-45497,10008,7/24/2024,8:18 AM,6:08 PM,Alice,Romualdez,,,,,,
10008-45498,10008,7/25/2024,9:50 AM,7:10 PM,Alice,Romualdez,,,,,,
10008-45499,10008,7/26/2024,8:39 AM,5:13 PM,Alice,Romualdez,,,,,,
10008-45502,10008,7/29/2024,10:46 AM,9:27 PM,Alice,Romualdez,,,,,,
