Attendance_ID,Employee #,Date,Log In,Log Out,First Name,Last Name
10000-45446,10000,6/3/2024,8:59 AM,6:31 PM,Admin,Super
10000-45447,10000,6/4/2024,9:47 AM,7:07 PM,Admin,Super
10000-45448,10000,6/5/2024,10:57 AM,9:32 PM,Admin,Super
10000-45449,10000,6/6/2024,9:32 AM,7:15 PM,Admin,Super
10000-45450,10000,6/7/2024,9:46 AM,7:15 PM,Admin,Super
10000-45453,10000,6/10/2024,9:10 AM,6:36 PM,Admin,Super
10000-45454,10000,6/11/2024,10:30 AM,8:53 PM,Admin,Super
10000-45455,10000,6/12/2024,8:37 AM,6:25 PM,Admin,Super
10000-45456,10000,6/13/2024,8:24 AM,7:20 PM,Admin,Super
10000-45457,10000,6/14/2024,9:28 AM,7:24 PM,Admin,Super
10000-45460,10000,6/17/2024,9:07 AM,7:10 PM,Admin,Super
10000-45461,10000,6/18/2024,8:32 AM,6:35 PM,Admin,Super
10000-45462,10000,6/19/2024,9:05 AM,6:30 PM,Admin,Super
10000-45463,10000,6/20/2024,9:07 AM,8:01 PM,Admin,Super
10000-45464,10000,6/21/2024,8:19 AM,3:24 PM,Admin,Super
10000-45467,10000,6/24/2024,10:26 AM,7:43 PM,Admin,Super
10000-45468,10000,6/25/2024,9:52 AM,5:12 PM,Admin,Super
10000-45469,10000,6/26/2024,8:23 AM,6:51 PM,Admin,Super
10000-45470,10000,6/27/2024,8:46 AM,4:09 PM,Admin,Super
10000-45471,10000,6/28/2024,9:07 AM,6:28 PM,Admin,Super
10000-45474,10000,7/1/2024,9:15 AM,7:17 PM,Admin,Super
10000-45475,10000,7/2/2024,9:33 AM,7:06 PM,Admin,Super
10000-45476,10000,7/3/2024,10:43 AM,7:29 PM,Admin,Super
10000-45477,10000,7/4/2024,8:15 AM,6:26 PM,Admin,Super
10000-45478,10000,7/5/2024,8:00 AM,4:29 PM,Admin,Super
10000-45481,10000,7/8/2024,8:32 AM,4:59 PM,Admin,Super
10000-45482,10000,7/9/2024,9:46 AM,6:46 PM,Admin,Super
10000-45483,10000,7/10/2024,9:02 AM,5:37 PM,Admin,Super
10000-45484,10000,7/11/2024,10:57 AM,9:16 PM,Admin,Super
10000-45485,10000,7/12/2024,8:48 AM,5:32 PM,Admin,Super
10000-45488,10000,7/15/2024,10:02 AM,8:52 PM,Admin,Super
10000-45489,10000,7/16/2024,9:52 AM,7:24 PM,Admin,Super
10000-45490,10000,7/17/2024,10:37 AM,7:25 PM,Admin,Super
10000-45491,10000,7/18/2024,10:10 AM,6:44 PM,Admin,Super
