Leave_ID,Employee #,Date,Start_Time,End_Time,First Name,Last Name,Status,Reviewed_By,Reviewed_At,Decision_Note
10000-45297,10000,1/6/2024,8:00 AM,5:00 PM,Admin,Super,APPROVED,,,
10000-45299,10000,1/8/2024,8:00 AM,5:00 PM,Admin,Super,APPROVED,,,
10000-45301,10000,1/10/2024,8:00 AM,5:00 PM,Admin,Super,APPROVED,,,
10000-45347,10000,2/25/2024,8:00 AM,5:00 PM,Admin,Super,APPROVED,,,
10000-45447,10000,6/4/2024,8:00 AM,5:00 PM,Admin,Super,APPROVED,,,
10000-45475,10000,7/2/2024,8:00 AM,5:00 PM,Admin,Super,APPROVED,,,
10000-45583,10000,10/18/2024,8:00 AM,5:00 PM,Admin,Super,APPROVED,,,
10000-45655,10000,12/29/2024,8:00 AM,5:00 PM,Admin,Super,APPROVED,,,

10000-46090-0800,10000,3/9/2026,8:00 AM,8:00 AM,Admin,Super,PENDING,,,
