Username,Password,First Name,Last Name,Department,Lock Out Status
10000,4dc536add124104a43269f3a8cd543a2327dca096fbcf3e7f04fe5869c7c680b,Super,Admin,IT Operations and Systems,No
10001,4889f2079f57094a6f9a67f2f3cd59017af71e7d4d5db6781cf979b6d26159e4,Manuel III,Garcia,Chief Executive Officer,No
10002,6cde27191334e7ba6aa19d8b2bd39d346c17947a480d38f923973d79fea9db45,Antonio,Lim,Chief Operating Officer,No
10003,de3283a371a7d23c3fe3da77995f33ee49f0955c2fb0f60f42ebf66f13759d5,Bianca Sofia,Aquino,Chief Finance Officer,No
10004,f1ed207f9bd14d3f3d974b933ca96967b82f8ab0634572c43ac32c037b692776,Isabella,Reyes,Chief Marketing Officer,No
10005,ade61b5d5ba7e622b92bd153fee8213c9cf127b7fa25c04af63e7ea634bb3abf,Eduard,Hernandez,IT Operations and Systems,No
10006,3bba06e5dc2c75b63c726461496e6cb3b44b19353de3aba613f8087726d955b0,Andrea Mae,Villanueva,HR Manager,No
10007,9576b723f10640b6dab8035d11fd1cbacceb439d067bfd5b092cf79fb2d79765,Brad,San Jose,HR Team Leader,No
10008,2c5e6444950232785f28990c7750cb1af7d1a747c37b67cc4619c4880bee493f,Alice,Romualdez,HR Rank and File,No
10009,2e052a5a5bd11bec5432ad8857ea18f54ca14427dcac68aa751e7c1803c8c0e1,Rosie,Atienza,HR Rank and File,No
10010,8cfaf4300fa1fca336e900a37521fa80c056c552ad6e22b07dc4cce9710ded60,Roderick,Alvaro,Accounting Head,No
10011,22f931898635339f8cc4cf15b42cfdbc1e8cb0d31d9226c7c329d183f568b121,Anthony,Salcedo,Payroll Manager,No
10012,bce8af91e14e12b32a00b924238577b7fc5098e5bff18098b34e7785cced333d,Josie,Lopez,Payroll Team Leader,No
10013,7c1e9f468030ec386e6f25c3c4f32025c00845eeee8fcbc22ced6e3fc7d98066,Martha,Farala,Payroll Rank and File,No
10014,ec52587ffdd686256316a9c1a42dabaf61ca3aae5f1cbdb4bdcece643d9bbfea,Leila,Martinez,Payroll Rank and File,No
10015,d450cb667bc758f8b9254a9f8b6bcb8ab97c4b9defb8e27be0168439e7befe7c,Fredrick,Romualdez,Account Manager,No
10016,5ed3007d32150b0bdcbd4dc885707dca054fab0f806b0fd909ea6b314c46496e,Christian,Mata,Account Team Leader,No
10017,2c274fdc707e3e372d800d962b607215bef8f71728cb2b0cb730d269551abd9,Selena,De Leon,Account Team Leader,No
10018,4e475aed8e9d5302a9feae559126a51682240161e2e2ea152edf2329c9d870d3,Allison,San Jose,Account Rank and File,No
10019,2d465f59a16b3765754a0a8428a66bad3f605e039e8b05fd5d8faf7e0421e657,Cydney,Rosario,Account Rank and File,No
10020,fd41fd7c584eeb4ff051809d17740cb7f9018a74a45a55be488c315a4c4dc613,Mark,Bautista,Account Rank and File,No
10021,a83d8466939e9ea5e9c9df5ef7dfcdb604b5ede1bcb76aeb7aa6130b28b3080c,Darlene,Lazaro,Account Rank and File,No
10022,bb72af640a5da86fd2e7575ec36b0f496ad5824c5ef8d88ab31880cb481396c4,Kolby,Delos Santos,Account Rank and File,No
10023,7cd522c699e137fce34b4dff43a81a7098a7be1b6b24aa9ae4d7e70a80e815a9,Vella,Santos,Account Rank and File,No
10024,78df1c311ca880ca953c902c1eda4fff9d249d0c324c4660ef1b33849fa1e9e8,Tomas,Del Rosario,Account Rank and File,No
10025,d50c670ef195ada3c19ac911d07130e575ef4b4a93f4025df298cb748e1a8e8a,Jacklyn,Tolentino,Account Rank and File,No
10026,568d9882aae781a0f8fcf99c4432fd765777658d532ecebaa09a814b321551ba,Percival,Gutierrez,Account Rank and File,No
10027,de4a8a01f02c98d8f80b713962b002a7d2dcf7a8bd214ded65a204c7550f3429,Garfield,Manalaysay,Account Rank and File,No
10028,47bc79acc635326e0cdd356d1e05ca9396e272e3fcbad4c9fe028a556be8ae32,Lizeth,Villegas,Account Rank and File,No
10029,7523bdb071f9ef30d6dd37e7f7fa93e068bb5bceab2274a0b15d8555902ac7e7,Carol,Ramos,Account Rank and File,No
10030,464ab62ebe31bd357712bd61aa8e67d44b8572de4e9792020b59b384215a8dec,Emelia,Maceda,Account Rank and File,No
10031,dcfe48b600a49dafb346797e1a882492b08654093a085fadd98ca6499633cf6f,Delia,Aguilar,Account Rank and File,No
10032,f26582b974ae47fc5207de0c1f88127557e6a5c006dcacb4ea802dd2a7d0b1c1,John Rafael,Castro,Sales & Marketing,No
10033,2d8117905baeaa083d0ed6387d73584212eec0d73022f800e5e40e961ec1bf38,Carlos Ian,Martinez,Supply Chain and Logistics,No
10034,529aafbc7a0aa3af625be72d107e3f0de83fd0a37ba8bb904f5575246194e0c,Beatriz,Santos,Customer Service,No
